Year,State,state_po,Winner_Candidate,Winner_Party
1976,United States,US,Jimmy Carter,Democrat
1980,United States,US,Ronald Reagan,Republican
1984,United States,US,Ronald Reagan,Republican
1988,United States,US,George H.W. Bush,Republican
1992,United States,US,Bill Clinton,Democrat
1996,United States,US,Bill Clinton,Democrat
2000,United States,US,George W. Bush,Republican
2004,United States,US,George W. Bush,Republican
2008,United States,US,Barack H. Obama,Democrat
2012,United States,US,Barack H. Obama,Democrat
2016,United States,US,Donald J. Trump,Republican
1977,United States,US,Jimmy Carter,Democrat
1978,United States,US,Jimmy Carter,Democrat
1979,United States,US,Jimmy Carter,Democrat
1981,United States,US,Ronald Reagan,Republican
1982,United States,US,Ronald Reagan,Republican
1983,United States,US,Ronald Reagan,Republican
1985,United States,US,Ronald Reagan,Republican
1986,United States,US,Ronald Reagan,Republican
1987,United States,US,Ronald Reagan,Republican
1989,United States,US,George H.W. Bush,Republican
1990,United States,US,George H.W. Bush,Republican
1991,United States,US,George H.W. Bush,Republican
1993,United States,US,Bill Clinton,Democrat
1994,United States,US,Bill Clinton,Democrat
1995,United States,US,Bill Clinton,Democrat
1997,United States,US,Bill Clinton,Democrat
1998,United States,US,Bill Clinton,Democrat
1999,United States,US,Bill Clinton,Democrat
2001,United States,US,George W. Bush,Republican
2002,United States,US,George W. Bush,Republican
2003,United States,US,George W. Bush,Republican
2005,United States,US,George W. Bush,Republican
2006,United States,US,George W. Bush,Republican
2007,United States,US,George W. Bush,Republican
2009,United States,US,Barack H. Obama,Democrat
2010,United States,US,Barack H. Obama,Democrat
2011,United States,US,Barack H. Obama,Democrat
2013,United States,US,Barack H. Obama,Democrat
2014,United States,US,Barack H. Obama,Democrat
2015,United States,US,Barack H. Obama,Democrat
2017,United States,US,Donald J. Trump,Republican
2018,United States,US,Donald J. Trump,Republican
2019,United States,US,Donald J. Trump,Republican
